SiteID;Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Curve;Food.source;Material;Context;Source;MainBibliography;Bibliography;Observations
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2791;3940;50;-20,2;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Lozano Medina, Aranda Jimenez 2017;n/a;Lozano Medina, Aranda Jimenez 2017;n/a
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2782;3760;70;-20,1;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Lozano Medina, Aranda Jimenez 2017;n/a;Lozano Medina, Aranda Jimenez 2017;n/a
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2790;3900;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial 2;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;n/a
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2789;2950;80;-20,3;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Corridor;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;n/a
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2788;3810;80;-20,8;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;n/a
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2792;3790;110;-20;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;n/a;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;n/a
S39;Portugal;38,030767;-7,617345;621345;4210130;South;Centir„ 2;Tholos;Sac-2796_C;3689;25;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial 1;Lozano Medina, Aranda Jimenez 2017;Robles et al 2013;Robles et al 2013/Lozano Medina, Aranda Jimenez 2017;Sac-2796 and Beta-331980 combined
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;Beta-90884;5660;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burials;Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;Beta-101425;5860;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burials;Garcia Sanjuan et al 2011, Tab 2;n/a;Garcia Sanjuan et al 2011;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;OxA-6715;5895;55;-23,1;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burials;"Garcia Sanjuan et al 2011, Tab 2; Bronk Ramsey et al 2002";n/a;Garcia Sanjuan et al 2011/Ruiz Taboada,Montero Ruiz 1999;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;Beta-90885;5920;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burials;Garcia Sanjuan et al 2011;n/a;Ruiz Taboada/Montero Ruiz 1999;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;OxA-6713;5765;55;-17,7;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burials;Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;n/a
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;OxA-6580;5850;80;-19,6;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burials;Garcia Sanjuan et al 2011, Tab 2;n/a;Garcia Sanjuan et al 2011;n/a
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;Beta-101435;5860;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Montero et al 1999/Ruiz-Taboada, Montero 1999;Montero et al 1999/Ruiz-Taboada, Montero 1999;Lozano Medina 2017;n/a
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;Beta-110875;5300;120;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;IDEArq.org;n/a;n/a;n/a
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;Beta-118936;5830;30;-20,8;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Organic material;Organic material;IDEArq.org;n/a;n/a;n/a
S40;Spain;37,2678;-1,7958;1139196;4148988;South;Cerro Virtud;Megalithic grave;OxA-6714;6030;55;-18,8;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;B3 Phase 2;Bronk Ramsey et al 2002;Ruiz Taboada, Montero Ruiz 1999;n/a;n/a
S41;Spain;42,56827524;-2,553423068;1029208;4733058;Ebro basin;Chabola de la Hechicera;Passage grave;Beta-307797;4420;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a
S41;Spain;42,56827524;-2,553423068;1029208;4733058;Ebro basin;Chabola de la Hechicera;Passage grave;Beta-307795;4940;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a
S41;Spain;42,56827524;-2,553423068;1029208;4733058;Ebro basin;Chabola de la Hechicera;Passage grave;Beta-307796;4980;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a
S41;Spain;42,56827524;-2,553423068;1029208;4733058;Ebro basin;Chabola de la Hechicera;Passage grave;Beta-288936;3280;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a;Fernandez Eraso, Mujika Alustiza 2013;n/a
