SiteID;Country;Latitude;Longitude;Eastings_X;Northings_Y;Region;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;MarineResources;AquaticResources;DeltaR;DeltaRErr;Curve;Food.source;Material;Context;Source;MainBibliography;Bibliography;Observations
S97;Spain;37,364;-2,357147;1088574;4156012;South;Las Churuletas 3;Rundgr‰ber & calero tomb;Beta-439075;4790;30;-18,8;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 3;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S98;Spain;37,364;-2,357147;1088574;4156012;South;Las Churuletas 4;Passage grave;Beta-421157;4470;30;-19,5;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 4;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S98;Spain;37,364;-2,357147;1088574;4156012;South;Las Churuletas 4;Passage grave;Beta-439076;3980;30;-19;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 4;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S99;Spain;41,6307;1,5596;1380130;4662981;East;Les Maioles;Dolmen;UBAR-559;3465;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Individual A;Telearchaeology.com;n/a;Telearchaeology.com;n/a
S99;Spain;41,6307;1,5596;1380130;4662981;East;Les Maioles;Dolmen;UBAR-560;3495;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Individual B;Telearchaeology.com;n/a;Telearchaeology.com;n/a
S99;Spain;41,6307;1,5596;1380130;4662981;East;Les Maioles;Dolmen;UBAR-558;3475;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Individual E;Telearchaeology.com;n/a;Telearchaeology.com;n/a
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74316;4112;20;-19,3;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74314;4175;20;-18,5;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74312;4163;20;-18,3;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74313;4164;20;-17,4;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74318;4153;20;-17,3;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74317;4151;20;-16,6;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S100;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 1;Rundgr‰ber & calero tomb;ETH-74315;4148;20;-13,2;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 1;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S101;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 5b;Rundgr‰ber & calero tomb;SUERC-69020;4219;29;-18,6;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 5b;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S101;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 5b;Rundgr‰ber & calero tomb;N.R.1;4160;60;-10,6;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 5b;Aranda Jimenez et al 2017;Maicas 2007;Maicas 2007/Aranda Jimenez et al 2017;Geographic coordinates approximated
S102;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 6;Passage grave;SUERC-69021;4264;29;-19;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 6;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S102;Spain;37,3629;-2,352493;1088995;4155919;South;Llano del Jauton 6;Passage grave;SUERC-69022;4189;24;-18,8;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Tomb 6;Aranda Jimenez et al 2017;n/a;Aranda Jimenez et al 2017;Geographic coordinates approximated
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Beta-301937;3160;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Aranda Jimenez, 2013;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Beta-301936;3300;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Aranda Jimenez, 2014;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Beta-301935;2910;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Aranda Jimenez, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39501;3018;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39495;3183;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39499;3218;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39500;3246;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39496;3286;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39502;3269;31;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39503;3168;32;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39497;3225;36;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S103;Spain;36,9967;-3,8881;955023;4106739;South;Los Bermejales 8;Dolmen;Ua-39498;3543;36;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Burial chamber;Camara, Molina, 2015;n/a;n/a;n/a
S104;Spain;37,5586;-6,7353;700033;4159253;South;Los Gabrieles 4;Megalithic grave;Beta-185648;3850;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial chamber (layer 3);Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan 2009, 19;Geographic coordinates approximated
S104;Spain;37,5586;-6,7353;700033;4159253;South;Los Gabrieles 4;Megalithic grave;Beta-185650;3700;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial chamber (layer 2);Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;Geographic coordinates approximated
S104;Spain;37,5586;-6,7353;700033;4159253;South;Los Gabrieles 4;Megalithic grave;Beta-185649;3920;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Tomb 3. Burial chamber (layer 4);Garcia Sanjuan et al 2011;n/a;Garcia Sanjuan et al 2011;Geographic coordinates approximated
S105;Spain;42,5937;-2,5323;1030726;4736016;Ebro basin;Los Llanos;Passage grave;I-14593;4090;120;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Chamber, upper level;MuÅller 1998, 82;Cassen et al 1996;MuÅller 1998, 82/Cassen et al 1996, 514;n/a
S105;Spain;42,5937;-2,5323;1030726;4736016;Ebro basin;Los Llanos;Passage grave;I-15168;5190;140;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Human bone;Ground level corriidor;MuÅller 1998, 82;Cassen et al 1996;MuÅller 1998, 82/Cassen et al 1996, 514;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93542;5010;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-11;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93543;4990;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-12;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93610;4895;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-3;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93611;4975;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-4;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93612;4410;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-5;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93536;5020;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-6;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93537;4990;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-7;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93538;4990;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-8;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-93539;4680;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM17-9;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S106;Spain;41,6068693;-4,818778489;848438;4614579;Douro/Duero and Mondego basins;Los Zumacales;Dolmen;Poz-112689;4820;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Sample ZUM19-1;Santa Cruz del Barrio et al 2020;n/a;Santa Cruz del Barrio et al 2020;n/a
S107;Spain;43,16080594;-7,496979382;622189;4779768;North;Madorra da Granxa;Tumulus;CSIC-1375;3329;27;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Fabregas Valcarce, Vilaseco Vazquez 2006;Chao, Alvarez 2000;Chao, Alvarez 2000/Fabregas Valcarce, Vilaseco Vazquez 2006;n/a
S107;Spain;43,16080594;-7,496979382;622189;4779768;North;Madorra da Granxa;Tumulus;CSIC-1377;3246;28;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Fabregas Valcarce, Vilaseco Vazquez 2006;Chao, Alvarez 2000;Chao, Alvarez 2000/Fabregas Valcarce, Vilaseco Vazquez 2006;n/a
S107;Spain;43,16080594;-7,496979382;622189;4779768;North;Madorra da Granxa;Tumulus;CSIC-1376;5106;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Fabregas Valcarce, Vilaseco Vazquez 2006;Chao, Alvarez 2000;Chao, Alvarez 2000/Fabregas Valcarce, Vilaseco Vazquez 2006;n/a
S108;Portugal;41,2997;-7,6094;616421;4572960;Douro/Duero and Mondego basins;Madorras I;Passage grave;OxA-5199;4540;65;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Cruz 1995;n/a;Cruz 1995;n/a
S108;Portugal;41,2997;-7,6094;616421;4572960;Douro/Duero and Mondego basins;Madorras I;Passage grave;CSIC-1030;5280;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Between orthostats;Cruz 1995;n/a;Cruz 1995;n/a
S108;Portugal;41,2997;-7,6094;616421;4572960;Douro/Duero and Mondego basins;Madorras I;Passage grave;GrA-855;4420;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Entrance area, floor atrium;Cruz 1995;n/a;Cruz 1995;n/a
S108;Portugal;41,2997;-7,6094;616421;4572960;Douro/Duero and Mondego basins;Madorras I;Passage grave;GrN-21066;4790;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;On side stone;Cruz 1995;n/a;Cruz 1995;n/a
S108;Portugal;41,2997;-7,6094;616421;4572960;Douro/Duero and Mondego basins;Madorras I;Passage grave;GrA-884;3500;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Surface ancient soil;Cruz 1995;n/a;Cruz 1995;n/a
S109;Portugal;41,1989;-8,0333;581056;4561287;Douro/Duero and Mondego basins;Mamoa da Mina de S„o Sim„o;Passage grave;CSIC-717;5130;90;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Cruz 1995;n/a;Cruz 1995;n/a
S109;Portugal;41,1989;-8,0333;581056;4561287;Douro/Duero and Mondego basins;Mamoa da Mina de S„o Sim„o;Passage grave;CSIC-715;5010;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement chamber;Cruz 1995;n/a;Cruz 1995;n/a
S109;Portugal;41,1989;-8,0333;581056;4561287;Douro/Duero and Mondego basins;Mamoa da Mina de S„o Sim„o;Passage grave;CSIC-716;5050;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Basement chamber;Cruz 1995;n/a;Cruz 1995;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;CSIC-1815;3862;33;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Antechamber;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;CSIC-1817;4057;33;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Corridor;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;Ua-19122;4080;70;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Corridor;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;CSIC-1814;4136;33;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Entrance area;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;Ua-19121;4560;65;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Entrance area;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;CSIC-1816;3806;32;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Under stones of tumulus;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S110;Portugal;41,4839;-7,4019;633417;4593709;Douro/Duero and Mondego basins;Mamoa do Castelo 1;Passage grave;CSIC-1818;5112;36;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Under stones of tumulus;Sanches et al 2005;n/a;Sanches et al 2005;n/a
S111;Spain;42,7134;-7,9119;589100;4729563;North;Mamoa do Monte dos Marxos;Passage grave;CAMS-77925;4920;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005;n/a;Steelman et al 2005;n/a
S111;Spain;42,7134;-7,9119;589100;4729563;North;Mamoa do Monte dos Marxos;Passage grave;CAMS-77924;5330;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005;n/a;Steelman et al 2005;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;Ua-35042;3520;35;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-16946;3960;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-28313;4585;40;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-22849;3905;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-22850;3905;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-24202;3915;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrN-26173;4460;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrN-26174;4560;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;I-19025;3080;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;I-19024;3420;80;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-16943;4345;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Charcoal;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-18785;4300;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Charcoal;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S112;Spain;43,08532619;-2,249403485;1049552;4792457;North;Mandubi Zelaia;Dolmen;GrA-16945;4950;45;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;n/a;Mujika Alustiza 2017, 95;n/a;Mujika Alustiza 2017, 95;n/a
S113;Portugal;41,1901;-8,0258;581696;4560317;Douro/Duero and Mondego basins;Meninas do Crasto 2;Passage grave;CSIC-656;5260;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial ?;MuÅller 1998, 82;Criado Borado, Fabegras Valcarce 1989;MuÅller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a
S113;Portugal;41,1901;-8,0258;581696;4560317;Douro/Duero and Mondego basins;Meninas do Crasto 2;Passage grave;CSIC-657;5260;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial ?;MuÅller 1998, 82;Criado Borado, Fabegras Valcarce 1989;MuÅller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a
S113;Portugal;41,1901;-8,0258;581696;4560317;Douro/Duero and Mondego basins;Meninas do Crasto 2;Passage grave;CSIC-658;5260;60;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial ?;MuÅller 1998, 82;Criado Borado, Fabegras Valcarce 1989;MuÅller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a
S114;Portugal;41,2045;-8,0187;582273;4561923;Douro/Duero and Mondego basins;Meninas do Crasto 4;Passage grave;GaK-10943;4220;140;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Ancient soil;Cruz 1995;n/a;Cruz 1995;n/a
S114;Portugal;41,2045;-8,0187;582273;4561923;Douro/Duero and Mondego basins;Meninas do Crasto 4;Passage grave;CSIC-660;3800;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial ?;MuÅller 1998, 82;Criado Borado, Fabegras Valcarce 1989;MuÅller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a
S114;Portugal;41,2045;-8,0187;582273;4561923;Douro/Duero and Mondego basins;Meninas do Crasto 4;Passage grave;CSIC-661;3830;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;Burial ?;MuÅller 1998, 82;Criado Borado, Fabegras Valcarce 1989;MuÅller 1998, 82/Criado Boado, Fabregas Valcarce 1989, 685;n/a
S115;Portugal;38,7674;-9,2647;477004;4290998;Tagus and western basins;Monte Abra„o;Dolmen;Beta-228580;4180;40;-19,96;7,9;1;3;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber;Boaventura 2009;n/a;Boaventura 2009;n/a
S115;Portugal;38,7674;-9,2647;477004;4290998;Tagus and western basins;Monte Abra„o;Dolmen;Beta-228579;4040;40;-20,7;8,25;1;3;n/a;n/a;intcal20;C3 plants and terrestrial animals;Human bone;Chamber;Boaventura 2009;n/a;Boaventura 2009;n/a
S116;Spain;43,5336;-5,764;761474;4825161;North;Monte Areo V;Dolmen;GrN-22027;5330;50;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Arias Cabal et al 2000, 131;de Blas 1999;Arias Cabal et al 2000, 131/De Blas 1999;n/a
S116;Spain;43,5336;-5,764;761474;4825161;North;Monte Areo V;Dolmen;GrN-22026;5470;90;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;Arias Cabal et al 2000, 131;de Blas 1999;Arias Cabal et al 2000, 131/De Blas 1999;n/a
S116;Spain;43,5336;-5,764;761474;4825161;North;Monte Areo V;Dolmen;UtC-9320;5239;43;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Charcoal;n/a;IDEArq.org;n/a;IDEArq.org;n/a
S117;Spain;43,527;-5,7798;760226;4824378;North;Monte Areo XII;Tumulus;CSIC-1380;5133;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;Arias Cabal et al 2000, 131/De Blas 1999;Geographic coordinates approximated
S117;Spain;43,527;-5,7798;760226;4824378;North;Monte Areo XII;Tumulus;CSIC-1378;5176;30;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;Arias Cabal et al 2000, 131/De Blas 1999;Geographic coordinates approximated
S117;Spain;43,527;-5,7798;760226;4824378;North;Monte Areo XII;Tumulus;CSIC-1379;5261;31;n/a;n/a;n/a;n/a;n/a;n/a;intcal20;n/a;Wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;Arias Cabal et al 2000, 131/De Blas 1999;Geographic coordinates approximated
